hour,susceptible,exposed,infected,hospitalized,recovered,deceased
484,198050,0,0,0,0,0.0
485,198050,0,0,0,0,0.0
486,198050,0,0,0,0,0.0
487,198050,0,0,0,0,0.0
488,198050,0,0,0,0,0.0
489,198050,0,0,0,0,0.0
490,198050,0,0,0,0,0.0
491,198050,0,0,0,0,0.0
492,198050,0,0,0,0,0.0
493,198050,0,0,0,0,0.0
494,198050,0,0,0,0,0.0
495,198050,0,0,0,0,0.0
496,198050,0,0,0,0,0.0
497,198050,0,0,0,0,0.0
498,198050,0,0,0,0,0.0
499,198050,0,0,0,0,0.0
500,198050,0,0,0,0,0.0
501,198050,0,0,0,0,0.0
502,198050,0,0,0,0,0.0
503,198050,0,0,0,0,0.0
504,198050,0,0,0,0,0.0
505,198050,0,0,0,0,0.0
506,198050,0,0,0,0,0.0
507,198050,0,0,0,0,0.0
508,198050,0,0,0,0,0.0
509,198050,0,0,0,0,0.0
510,198050,0,0,0,0,0.0
511,198050,0,0,0,0,0.0
512,198050,0,0,0,0,0.0
513,198050,0,0,0,0,0.0
514,198050,0,0,0,0,0.0
515,198050,0,0,0,0,0.0
516,198050,0,0,0,0,0.0
517,198050,0,0,0,0,0.0
518,198050,0,0,0,0,0.0
519,198050,0,0,0,0,0.0
520,198050,0,0,0,0,0.0
521,198050,0,0,0,0,0.0
522,198050,0,0,0,0,0.0
523,198050,0,0,0,0,0.0
524,198050,0,0,0,0,0.0
525,198050,0,0,0,0,0.0
526,198050,0,0,0,0,0.0
527,198050,0,0,0,0,0.0
528,198050,0,0,0,0,0.0
529,198050,0,0,0,0,0.0
530,198050,0,0,0,0,0.0
531,198050,0,0,0,0,0.0
532,198050,0,0,0,0,0.0
533,198050,0,0,0,0,0.0
534,198050,0,0,0,0,0.0
535,198050,0,0,0,0,0.0
536,198050,0,0,0,0,0.0
537,198050,0,0,0,0,0.0
538,198050,0,0,0,0,0.0
539,198050,0,0,0,0,0.0
540,198050,0,0,0,0,0.0
541,198050,0,0,0,0,0.0
542,198050,0,0,0,0,0.0
543,198050,0,0,0,0,0.0
544,198050,0,0,0,0,0.0
545,198050,0,0,0,0,0.0
546,198050,0,0,0,0,0.0
547,198050,0,0,0,0,0.0
548,198050,0,0,0,0,0.0
549,198050,0,0,0,0,0.0
550,198050,0,0,0,0,0.0
551,198050,0,0,0,0,0.0
552,198050,0,0,0,0,0.0
553,198050,0,0,0,0,0.0
554,198050,0,0,0,0,0.0
555,198050,0,0,0,0,0.0
556,198050,0,0,0,0,0.0
557,198050,0,0,0,0,0.0
558,198050,0,0,0,0,0.0
559,198050,0,0,0,0,0.0
560,198050,0,0,0,0,0.0
561,198050,0,0,0,0,0.0
562,198050,0,0,0,0,0.0
563,198050,0,0,0,0,0.0
564,198050,0,0,0,0,0.0
565,198050,0,0,0,0,0.0
566,198050,0,0,0,0,0.0
567,198050,0,0,0,0,0.0
568,198050,0,0,0,0,0.0
569,198050,0,0,0,0,0.0
570,198050,0,0,0,0,0.0
571,198050,0,0,0,0,0.0
572,198050,0,0,0,0,0.0
