areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths28DaysByDeathDate
E06000014,York,ltla,2020-07-08,905,110
E06000014,York,ltla,2020-07-07,902,109
E06000014,York,ltla,2020-07-06,902,109
E06000014,York,ltla,2020-07-05,901,109
E06000014,York,ltla,2020-07-04,901,109
E06000014,York,ltla,2020-07-03,900,109
E06000014,York,ltla,2020-07-02,899,109
E06000014,York,ltla,2020-07-01,899,109
E06000014,York,ltla,2020-06-30,898,109
E06000014,York,ltla,2020-06-29,898,109
E06000014,York,ltla,2020-06-28,895,109
E06000014,York,ltla,2020-06-27,895,109
E06000014,York,ltla,2020-06-26,894,109
E06000014,York,ltla,2020-06-25,893,109
E06000014,York,ltla,2020-06-24,892,109
E06000014,York,ltla,2020-06-23,892,108
E06000014,York,ltla,2020-06-22,892,108
E06000014,York,ltla,2020-06-21,891,107
E06000014,York,ltla,2020-06-20,890,107
E06000014,York,ltla,2020-06-19,890,107
E06000014,York,ltla,2020-06-18,887,107
E06000014,York,ltla,2020-06-17,885,107
E06000014,York,ltla,2020-06-16,884,107
E06000014,York,ltla,2020-06-15,878,107
E06000014,York,ltla,2020-06-14,877,107
E06000014,York,ltla,2020-06-13,875,107
E06000014,York,ltla,2020-06-12,873,107
E06000014,York,ltla,2020-06-11,870,106
E06000014,York,ltla,2020-06-10,868,105
E06000014,York,ltla,2020-06-09,866,104
E06000014,York,ltla,2020-06-08,864,104
E06000014,York,ltla,2020-06-07,860,104
E06000014,York,ltla,2020-06-06,859,104
E06000014,York,ltla,2020-06-05,859,104
E06000014,York,ltla,2020-06-04,856,104
E06000014,York,ltla,2020-06-03,855,103
E06000014,York,ltla,2020-06-02,853,103
E06000014,York,ltla,2020-06-01,846,103
E06000014,York,ltla,2020-05-31,842,102
E06000014,York,ltla,2020-05-30,841,102
E06000014,York,ltla,2020-05-29,838,102
E06000014,York,ltla,2020-05-28,836,102
E06000014,York,ltla,2020-05-27,832,102
E06000014,York,ltla,2020-05-26,822,101
E06000014,York,ltla,2020-05-25,817,101
E06000014,York,ltla,2020-05-24,810,100
E06000014,York,ltla,2020-05-23,807,100
E06000014,York,ltla,2020-05-22,803,100
E06000014,York,ltla,2020-05-21,797,96
E06000014,York,ltla,2020-05-20,787,96
E06000014,York,ltla,2020-05-19,779,96
E06000014,York,ltla,2020-05-18,773,93
E06000014,York,ltla,2020-05-17,767,91
E06000014,York,ltla,2020-05-16,763,90
E06000014,York,ltla,2020-05-15,756,89
E06000014,York,ltla,2020-05-14,744,87
E06000014,York,ltla,2020-05-13,723,85
E06000014,York,ltla,2020-05-12,713,82
E06000014,York,ltla,2020-05-11,701,80
E06000014,York,ltla,2020-05-10,670,79
E06000014,York,ltla,2020-05-09,657,78
E06000014,York,ltla,2020-05-08,649,75
E06000014,York,ltla,2020-05-07,627,75
E06000014,York,ltla,2020-05-06,606,73
